Model,Algorithm,Image_Attack,TPR_Det,TPR_Tra,Mean_Acc
SD1.5,holo,Crop_0.5,0.97,0.93,0.8953846153846154
SD1.5,holo,Drop_0.8,0.96,0.9,0.8969615384615385
SD1.5,holo,JPEG_20,1.0,1.0,0.9876923076923076
SD1.5,holo,Blur_6,0.97,0.92,0.8551538461538462
SD1.5,holo,Noise_0.05,1.0,1.0,0.9854615384615385
SD1.5,holo,Bright_4,1.0,0.97,0.9321923076923077
SD1.5,gssync,Crop_0.5,0.93,0.69,0.75984375
SD1.5,gssync,Drop_0.8,0.93,0.83,0.808125
SD1.5,gssync,JPEG_20,1.0,1.0,0.9705859375
SD1.5,gssync,Blur_6,0.98,0.94,0.824765625
SD1.5,gssync,Noise_0.05,1.0,1.0,0.9667578125
SD1.5,gssync,Bright_4,0.98,0.93,0.8905859375
SD1.5,prc,Crop_0.5,0.0,0.0,0.498671875
SD1.5,prc,Drop_0.8,0.03,0.02,0.5134375
SD1.5,prc,JPEG_20,0.47,0.4,0.7000390625
SD1.5,prc,Blur_6,0.0,0.0,0.507890625
SD1.5,prc,Noise_0.05,0.45,0.37,0.68609375
SD1.5,prc,Bright_4,0.16,0.11,0.55515625
